acidofilus	acidofilus-
action	action-
adel	adels-
adrenalin	adrenalin-
adventure	adventure-
aerobic	aerobic-
affald	affalds-
affedning	affednings-
affolkning	affolknings-
affugtning	affugtnings-
afføring	afførings-
afklaring	afklarings-
afkom	afkoms-
afkristning	afkristnings-
aflad	aflads-
aflatoksin	aflatoksin-
aflyd	aflyds-
afmagt	afmagts-
afpasning	afpasnings-
afpolitisering	afpolitiserings-
afskrækkelse	afskrækkelses-
afslapning	afslapnings-
afsmitning	afsmitnings-
afspænding	afspændings-
afstresning	afstresnings-
aftensmad	aftensmads-
afterskiing	afterskiing-
aftersun	aftersun-
aftrædelse	aftrædelses-
aftægt	aftægts-
agility	agility-
agio	agio-
agter	agter-
aircondition	aircondition-
ajle	ajle-
akkommodation	akkommodations-
akryl	akryl-
aksial	aksial-
akupunktur	akupunktur-
akut	akut-
alderdom	alderdoms-
aldring	aldrings-
allround	allround-
almue	almue-
alsang	alsangs-
alsidighed	alsidigheds-
aluminium	aluminium- el. aluminiums-
alun	alun-
alvor	alvors-
amish	amish-
ammoniak	ammoniak-
ammonium	ammonium-
ammunition	ammunitions-
anal	anal-
anciennitet	anciennitets-
andenhånds	andenhånds-
andenklasses	andenklasses-
andenrangs	andenrangs-
anfordring	anfordrings-
anonymitet	anonymitets-
anstand	anstands-
ansvar	ansvars-
antabus	antabus-
antracit	antracit-
apartheid	apartheid-
april	april-
arbejdskraft	arbejdskraft-
arbejdsliv	arbejdslivs-
arbejdsløshed	arbejdsløsheds-
arkivalier	arkivalie-
arkæologi	arkæologi-
arsen	arsen-
arsenik	arsenik-
arvesynd	arvesynds-
arvæv	arvævs-
asbest	asbest-
asfalt	asfalt-
astma	astma-
astrakan	astrakan-
atletik	atletik-
attenhundredetal	attenhundredetals-
attenhundredtal	attenhundredtals-
autohjælp	autohjælps-
automatik	automatik-
avl	avls-
backgammon	backgammon-
bacon	bacon-
badevand	badevands-
badminton	badminton-
baghånd	baghånds-
bagtunge	bagtunge-
balsamico	balsamico-
banko	banko-
bantamvægt	bantamvægts-
barmhjertighed	barmhjertigheds-
barndom	barndoms-
baseball	baseball-
basketball	basketball-
bast	bast-
begejstring	begejstrings-
behændighed	behændigheds-
bekendthed	bekendtheds-
benchmarking	benchmarking-
benklæder	benklæde-
benmel	benmels-
bestemthed	bestemtheds-
bevarelse	bevarelses-
bevaring	bevarings-
bevogtning	bevogtnings-
bidevind	bidevind-
biedermeier	biedermeier-
bindevæv	bindevævs-
bindingsværk	bindingsværks-
bistand	bistands-
blank	blank-
blod	blod-
blodskam	blodskams-
blodtryk	blodtryks-
bluf	bluf-
bluff	bluff-
blufærdighed	blufærdigheds-
blæk	blæk-
bløddele	bløddels-
bodil	bodil-
bogføring	bogførings-
boghvede	boghvede-
bogtryk	bogtryk- el. bogtryks-
bokmål	bokmåls-
bolognese	bolognese-
bomuld	bomulds-
borderline	borderline-
bordtennis	bordtennis-
borgerret	borgerrets-
borgfred	borgfreds-
bowling	bowling-
boxcalf	boxcalf-
brakvand	brakvands-
branding	branding-
bridge	bridge-
briller	brille-
brint	brint-
brisant	brisant-
brugsvand	brugsvands-
brutto	brutto-
bruyere	bruyere-
bulgur	bulgur-
byggeret	byggerets-
byudvikling	byudviklings-
bæverlam	bæverlams-
bølgeblik	bølgeblik-
børnebegrænsning	børnebegrænsnings-
børneforsorg	børneforsorgs-
børnetøj	børnetøjs-
cadmium	cadmium-
cajun	cajun-
calcium	calcium-
camping	camping-
cannabis	cannabis-
catering	catering- el. caterings-
celebrity	celebrity-
cellofan	cellofan-
celsius	celsius-
centrifugal	centrifugal-
centripetal	centripetal-
chai	chai-
chamotte	chamotte-
chevreau	chevreau-
chiffon	chiffon-
chippendale	chippendale-
citrus	citrus-
city	city-
civil	civil-
civilstand	civilstands-
coleslaw	coleslaw-
country	country-
couscous	couscous-
cricket	cricket-
curling	curling-
cyan	cyan-
dagløn	dagløns-
dagpenge	dagpenge-
