abessinsk	 itk. d.s., -e
abkhasisk	 itk. d.s., -e 
abnorm	 -t, -e 
aborigin	 -t, -e 
abrupt	 -e 
absolutistisk	 itk. d.s., -e 
abstinent	 -e 
absurd	 itk. d.s., -e 
absurdistisk	 itk. d.s., -e 
acceptabel	 -t, acceptable
accessorisk	 itk. d.s., -e 
adaptiv	 -t, -e 
adelig	 -t, -e
adfærdsvanskelig	 -t, -e
adhæsiv	 -t, -e 
adjektivisk	 itk. d.s., -e 
administrativ	 -t, -e 
administrerbar	 -t, -e
adresseløs	 -t, -e
adræt	 -te 
adskillelig	 -t, -e 
adskillig	 -t, -e 
adsprede	 -r, adspredte, adspredt 
adstadig	 -t, -e 
adverbiel	 -t, -le 
advokatorisk	 itk. d.s., -e 
adækvat	 -e 
aerob	 -t, -e 
aerodynamisk	 itk. d.s., -e
afatisk	 itk. d.s., -e 
afbalancere	 -r, -de, -t 
afbladet	 afbladede
afdanket	 afdankede 
afdelingsvis	 itk. d.s. el. -t, -e
afdragsfri	 -t, -e el. afdragsfri
afdragsvis	 itk. d.s. el. -t, -e
afdæmpe	 -r, -de, -t 
afdød	 -t, -e 
affabel	 -t, affable 
affekteret	 affekterede 
affektiv	 -t, -e 
affirmativ	 -t, -e 
affældig	 -t, -e 
afghansk	 itk. d.s., -e
afgøre	 afgør, afgjorde, afgjort
afgrundsdyb	 -t, -e
afgrænselig	 -t, -e
afholde	 -r, afholdt, har afholdt
afhængig	 -t, -e
afklare	 -r, -de, -t 
afkræftet	 afkræftede 
aflang	 -t, -e
afledt	 -e
aflynelig	 -t, -e 
aflæselig	 -t, -e
aflåselig	 -t, -e
afmægtig	 -t, -e 
afmåle	 -r, afmålte, afmålt
aforistisk	 itk. d.s., -e 
afpillet	 afpillede 
afrakket	 afrakkede 
afredt	 -e
afrikansk	 itk. d.s., -e
afroamerikansk	 itk. d.s., -e
afroasiatisk	 itk. d.s., -e 
afsindig	 -t, -e, som adv. også uden -t
afsjælet	 afsjælede 
afskallet	 afskallede
afskyelig	 -t, -e, som adv. også uden -t
afslappe	 -r, -de, -t
afslidt	 -e
afslutningsvis	 itk. d.s. el. -t, -e
afsnubbe	 -r, -de, -t 
afstikke	 -r, afstak, afstukket 
afstumpe	 -r, -de, -t 
afsættelig	 -t, -e 
aftage	 -r, aftog, aftaget 
aftagelig	 -t, -e
aftenlig	 -t, -e
aftenåben	 -t, aftenåbne
afveksle	 -r, -de, -t 
afvigte	 OM TIDSPERIODE sidste)
aggressiv	 -t, -e 
agil	 -t, -e 
agitatorisk	 itk. d.s., -e 
agnatisk	 itk. d.s., -e 
agnostisk	 itk. d.s., -e 
agrarisk	 itk. d.s., -e 
agronomisk	 itk. d.s., -e 
agter	 
agtsom	 -t, -me
agtværdig	 -t, -e 
ahistorisk	 itk. d.s., -e 
aidsramt	 -e
airconditioneret	 airconditionerede
akademisk	 itk. d.s., -e 
akavet	 akavede 
akkordlønnet	 akkordlønnede 
akkumulativ	 -t, -e 
akkurat	 -e 
akkusativisk	 itk. d.s., -e 
akrobatisk	 itk. d.s., -e
akromatisk	 itk. d.s., -e 
aksblomstret	 aksblomstrede 
aksial	 -t, -e , 
aksiomatisk	 itk. d.s., -e 
aktivisk	 itk. d.s., -e 
aktivistisk	 itk. d.s., -e 
aktuel	 -t, -le 
akustisk	 itk. d.s., -e
akut	 -te , 
akvatisk	 -e 
albansk	 itk. d.s., -e
albuminøs	 -t, -e 
aldersrelateret	 aldersrelaterede
alderstegen	 -t, alderstegne 
aleksandrinsk	 itk. d.s., -e 
alemannisk	 itk. d.s., -e 
alenlang	 -t, -e 
alert	 -e 
alfabetisk	 itk. d.s., -e
alfaderlig	 -t, -e
alfanumerisk	 itk. d.s., -e 
algebraisk	 itk. d.s., -e
algerisk	 itk. d.s., -e 
algod	 -t, -e 
algoritmisk	 itk. d.s., -e
alkalisk	 itk. d.s., -e 
alkoholfri	 -t, -e el. alkoholfri
alkoholholdig	 -t, -e
alkoholiseret	 alkoholiserede
alkoholisk	 itk. d.s., -e
alkoholskadet	 alkoholskadede
alkymistisk	 itk. d.s., -e
allegorisk	 itk. d.s., -e 
allerbedst	 -e
allerflest	 -e
allerførst	 -e
allergisk	 itk. d.s., -e
allergologisk	 itk. d.s., -e
allerhelligst	 -e
allerhøjest	 -e
allerkærest	 -e
allermindst	 -e
allernådigst	 -e
allerstørst	 -e
allround	 
allusorisk	 itk. d.s., -e 
almindelig	 -t, -e, som adv. også uden -t
almen	 -t, -e
almengyldig	 -t, -e
almenkendt	 -e 
almenmenneskelig	 -t, -e
almennyttig	 -t, -e
almensproglig	 -t, -e
