abandonnering	 -en, -er, -erne
abbed	 -en, -er, -erne 
abbedi	 -et, -er, -erne 
abbedisse	 -n, -r, -rne 
abc	 ABC’en, ABC’er, ABC’erne
abdicering	 -en, -er, -erne 
abdikation	 -en, -er, -erne 
abefest	 -en, -er, -erne
abekat	 -ten, -te, -tene
abekattestreg	 -en, -er, -erne 
abemenneske	 -t, -r, -ne
aberration	 -en, -er, -erne 
abessiner	 -en, -e, -ne 
abessinier	 -en, -e, -ne 
abetræ	 -et, -er, -erne 
abkhaser	 -en, -e, -ne 
ablativ	 -en, -er, -erne 
abnormitet	 -en, -er, -erne 
abonnement	 -et, -er, -erne
abonnent	 -en, -er, -erne
abonnering	 -en, -er, -erne
abonnine	 -n, -r, -rne 
aboriginal	 -en, -s 
aboriginer	 -en, -e, -ne 
aborre	 -n, -r, -rne
abort	 -en, -er, -erne
abortmodstander	 -en, -e, -ne
abrikos	 -en, -er, -erne
abs	 ABS’en absces	 -sen, -ser, -serne 
abscisse	 -n, -r, -rne 
abscisseakse	 -n, -r, -rne 
absence	 -n, -r, -rne 
absentation	 -en, -er, -erne 
absentering	 -en, -er, -erne 
absint	 -en, -er, -erne 
absolution	 -en, -er, -erne 
absolutisme	 -n 
absolutist	 -en, -er, -erne 
absorbering	 -en, -er, -erne
absorption	 -en, -er, -erne
abstinens	 -en, -er, -erne abstinenser	 -ne 
abstract	 -et, -er el. -s, -erne 
abstrahering	 -en, -er, -erne 
abstraktion	 -en, -er, -erne 
absurdisme	 -n 
absurdist	 -en, -er, -erne 
absurditet	 -en, -er, -erne 
abyssinier	 -en, -e, -ne 
acaibær	 -ret, acaibær, -rene
acceleration	 -en, -er, -erne 
accelerator	 -en, -er, -erne 
accenttegn	 -et, accenttegn, -ene
accentuation	 -en, -er, -erne 
accentuering	 -en, -er, -erne 
accept	 -en, -er, -erne
acces	 -sen, -ser, -serne 
accession	 -en, -er, -erne 
accessoires	 fx bælter, smykker, tasker
accessories	 fx bælter, smykker, tasker)
acetat	 -et, -er, -erne 
acetone	 -n, -r, -rne 
acetyl	 -en el. -et 
acetylen	 -et 
acetylsalicylsyre	 -n 
acidofilus	 
acontobeløb	 -et, acontobeløb, -ene
action	 
actionfilm	 -en, actionfilm, -ene
ad	 AD’en, AD’er, AD’erne 
adamskostume	 -t
adamsæble	 -t, -r, -rne 
adaptation	 -en, -er, -erne 
adaption	 -en, -er, -erne 
addend	 -en, -er, -erne 
addering	 -en, -er, -erne
addition	 -en, -er, -erne 
adel	 adlen, 
adelskab	 -et
adelsmand	 -en, adelsmænd, adelsmændene
adelsmærke	 -t, -r, -rne 
adelstand	 -en
adelsvælde	 -n el. -t
adfærd	 -en, adfærd, -ene
adfærdsmønster	 adfærdsmønstret, adfærdsmønstre, adfærdsmønstrene
adfærdsregulering	 -en, -er, -erne
adfærdsterapi	 -en, -er, -erne
adgang	 -en, -e, -ene
adgangsbegrænsning	 -en, -er, -erne
adgangseksamen	 -en, -er el. adgangseksaminer, -erne el. adgangseksaminerne
