abandonnere	 -r, -de, -t 
abdicere	 -r, -de, -t 
abonnere	 -r, -de, -t
abortere	 -r, -de, -t
absentere	 -r, -de, -t
absorbere	 -r, -de, -t
abstrahere	 -r, -de, -t
accelerere	 -r, -de, -t 
accentuere	 -r, -de, -t 
acceptere	 -r, -de, -t
adaptere	 -r, -de, -t 
addere	 -r, -de, -t 
adfærdsregulere	 -r, -de, -t
adgangsbegrænse	 -r, -de, -t
adhærere	 -r, -de, -t 
adjungere	 -r, -de, -t 
adle	 -r, -de, -t 
adlyde	 -r, adlød, adlydt
administrere	 -r, -de, -t
adoptere	 -r, -de, -t 
adressere	 -r, -de, -t
adskille	 -r, adskilte, adskilt
adsorbere	 -r, -de, -t 
adspørge	 -r, adspurgte, adspurgt 
adstringere	 -r, -de, -t 
advare	 -r, -de, -t
advisere	 -r, -de, -t 
advokere	 -r, -de, -t 
ae	 -r, -de, -t 
afbage	 -r, afbagte, afbagt
afbarke	 -r, -de, -t 
afbenytte	 -r, -de, -t 
afbeskikke	 -r, -de, -t 
afbestille	 -r, afbestilte, afbestilt
afbetale	 -r, afbetalte, afbetalt 
afbilde	 -r, -de, -t 
afbinde	 -r, afbandt, afbundet 
afblade	 -r, -de, -t
afblanke	 -r, -de, -t 
afblege	 -r, -de, -t 
afblomstre	 -r, -de, -t
afblænde	 -r, -de, -t
afblæse	 -r, afblæste, afblæst 
afbremse	 -r, -de, -t 
afbrække	 -r, -de, -t 
afbrænde	 -r, afbrændte, afbrændt 
afbureaukratisere	 -r, -de, -t
afbøde	 -r, -de, -t afbøje	 -r, -de, -t
afdampe	 -r, -de, -t 
afdrage	 -r, afdrog, afdraget 
afdramatisere	 -r, -de, -t
afdrive	 -r, afdrev, afdrevet 
afdryppe	 -r, -de, -t
afdække	 -r, -de, -t 
affarve	 -r, -de, -t 
affatte	 -r, -de, -t 
affede	 -r, -de, -t 
affedte	 -r, -de, -t 
affeje	 -r, -de, -t 
afficere	 -r, -de, -t 
affinde	 -r, affandt, affundet
affjedre	 -r, -de, -t
afflade	 -r, -de, -t 
affodre	 -r, -de, -t 
affolke	 -r, -de, -t 
affordre	 -r, -de, -t 
affotografere	 -r, -de, -t
affugte	 -r, -de, -t 
affyre	 -r, -de, -t
affærdige	 -r, -de, -t 
afføde	 -r, affødte, affødt 
afføre	 -r, afførte, afført 
afgasse	 -r, -de, -t 
afgifte	 -r, -de, -t 
afgive	 -r, afgav, afgivet 
afglatte	 -r, -de, -t 
afgnave	 -r, -de, -t
afgnide	 -r, afgned, afgnedet
afgrate	 -r, -de, -t 
afgrave	 -r, -de, -t
afgrene	 -r, -de, -t 
afgrænse	 -r, -de, -t
afgræsse	 -r, -de, -t
afgrøfte	 -r, -de, -t 
afgå	 afgår, afgik, afgået
afhandle	 -r, -de, -t 
afhaspe	 -r, -de, -t
afhente	 -r, -de, -t
afhjemle	 -r, -de, -t 
afhjælpe	 -r, afhjalp, afhjulpet 
afhorne	 -r, -de, -t 
afhude	 -r, -de, -t 
afhugge	 -r, -de, -t
afhænde	 -r, -de, -t
afhænge	 -r, afhang, afhængt
afhærde	 -r, -de, -t
afhøre	 -r, afhørte, afhørt
afhøste	 -r, -de, -t
afhøvle	 -r, -de, -t
afideologisere	 -r, -de, -t
afindustrialisere	 -r, -de, -t
afinstallere	 -r, -de, -t
afise	 -r, -de, -t 
afkalke	 -r, -de, -t
afkaste	 -r, -de, -t
afklapse	 -r, -de, -t 
afklæde	 -r, afklædte, afklædt
afkoble	 -r, -de, -t
afkode	 -r, -de, -t 
afkoge	 -r, afkogte, afkogt
afkolonisere	 -r, -de, -t 
afkorte	 -r, -de, -t
afkriminalisere	 -r, -de, -t 
afkristne	 -r, -de, -t 
afkrydse	 -r, -de, -t
afkræfte	 -r, -de, -t 
afkræve	 -r, -de, -t
afkviste	 -r, -de, -t 
afkøle	 -r, -de, -t
aflade	 -r, -de, -t
aflaste	 -r, -de, -t 
aflejre	 -r, -de, -t 
aflevere	 -r, -de, -t
aflire	 -r, -de, -t 
aflive	 -r, -de, -t
aflokke	 -r, -de, -t
aflure	 -r, -de, -t
afluse	 -r, -de, -t
aflyse	 -r, aflyste, aflyst
aflytte	 -r, -de, -t
aflære	 -r, aflærte, aflært
aflæsse	 -r, -de, -t
aflønne	 -r, -de, -t 
afløse	 -r, afløste, afløst
afløve	 -r, -de, -t 
aflåse	 -r, -de el. aflåste, -t el. aflåst
afmagnetisere	 -r, -de, -t
afmagre	 -r, -de, -t 
afmale	 -r, -de, -t
afmarchere	 -r, -de, -t
afmatte	 -r, -de, -t 
afmeje	 -r, -de, -t 
afmelde	 -r, afmeldte, afmeldt
afmilitarisere	 -r, -de, -t 
afmontere	 -r, -de, -t
afmystificere	 -r, -de, -t
afmytologisere	 -r, -de, -t 
afmærke	 -r, -de, -t
afmønstre	 -r, -de, -t 
afnakke	 -r, -de, -t 
afnationalisere	 -r, -de, -t 
afnazificere	 -r, -de, -t
afnøde	 -r, -de el. afnødte, -t el. afnødt 
afparere	 -r, -de, -t 
afpasse	 -r, -de, -t 
afpatruljere	 -r, -de, -t
afpersonalisere	 -r, -de, -t 
afplukke	 -r, -de, -t 
afpolitisere	 -r, -de, -t 
afpresse	 -r, -de, -t
afprivatisere	 -r, -de, -t 
afproppe	 -r, -de, -t 
afprøve	 -r, -de, -t
afpudse	 -r, -de, -t
afpæle	 -r, -de, -t 
afrapportere	 -r, -de, -t 
afreagere	 -r, -de, -t
afregistrere	 -r, -de, -t
afregne	 -r, -de, -t
afregulere	 -r, -de, -t 
afrense	 -r, -de, -t
afrette	 -r, -de, -t 
afridse	 -r, -de, -t 
afrigge	 -r, -de, -t 
afrikanisere	 -r, -de, -t afrime	 -r, -de, -t
afrive	 -r, afrev, afrevet 
afrunde	 -r, -de, -t
afruse	 -r, -de, -t 
afruste	 -r, -de, -t 
afrømme	 -r, -de, -t 
afsave	 -r, -de, -t
afse	 afser, afså, afset
afsejle	 -r, -de, -t
afseksualisere	 -r, -de, -t
afsige	 -r, afsagde, afsagt
afsikre	 -r, -de, -t 
afskaffe	 -r, -de, -t
afskalle	 -r, -de, -t 
afskedige	 -r, -de, -t 
afskove	 -r, -de, -t 
afskridte	 -r, -de, -t
afskrive	 -r, afskrev, afskrevet 
afskrække	 -r, -de, -t
afskumme	 -r, -de, -t afskyde	 -r, afskød, afskudt
afskære	 -r, afskar, afskåret 
afskærme	 -r, -de, -t
afslibe	 -r, afsleb, afslebet 
afsløre	 -r, -de, -t
afslå	 afslår, afslog, afslået
afsmelte	 -r, -de, -t
afsminke	 -r, -de, -t 
afsnøre	 -r, -de, -t 
afsondre	 -r, -de, -t 
afspadsere	 -r, -de, -t 
afspalte	 -r, -de, -t afspejle	 -r, -de, -t
afspise	 -r, afspiste, afspist
afspore	 -r, -de, -t
afspritte	 -r, -de, -t
afspænde	 -r, afspændte, afspændt
afspærre	 -r, -de, -t
afstandsbedømme	 -r, afstandsbedømte, afstandsbedømt
afstedkomme	 -r, afstedkom, afstedkommet 
afstemme	 -r, afstemte, afstemt 
afstive	 -r, -de, -t
afstraffe	 -r, -de, -t
afstresse	 -r, -de, -t
afstribe	 -r, -de, -t 
afstøbe	 -r, afstøbte, afstøbt
afstøde	 -r, afstødte, afstødt
afstå	 afstår, afstod, afstået
afsvale	 -r, -de, -t 
afsvide	 -r, afsved, afsvedet 
afsvovle	 -r, -de, -t
afsvække	 -r, -de, -t 
afsværge	 -r, -de el. afsvor, afsværget el. afsvoret 
afsynge	 -r, afsang, afsunget 
afsyre	 -r, -de, -t
afsæbe	 -r, -de, -t 
afsætte	 -r, afsatte, afsat
afsøge	 -r, afsøgte, afsøgt
aftabuisere	 -r, -de, -t 
aftakle	 -r, -de, -t aftappe	 -r, -de, -t
aftegne	 -r, -de, -t
aftjekke	 -r, -de, -t
aftjene	 -r, aftjente, aftjent
aftrappe	 -r, -de, -t
aftrykke	 -r, aftrykte, aftrykt 
aftræde	 -r, aftrådte, aftrådt 
aftvinge	 -r, aftvang, aftvunget 
aftørre	 -r, -de, -t
afvalme	 -r, -de, -t 
afvande	 -r, -de, -t 
afvandre	 -r, -de, -t 
afvarsle	 -r, -de, -t 
afvaske	 -r, -de, -t
afveje	 -r, -de, -t 
afvende	 -r, afvendte, afvendt 
afvente	 -r, -de, -t 
afvise	 -r, afviste, afvist
afvæbne	 -r, -de, -t
afvænne	 -r, -de, -t
afværge	 -r, -de, -t
afæske	 -r, -de, -t 
agere	 -r, -de, -t 
agglutinere	 -r, -de, -t 
aggravere	 -r, -de, -t
aggregere	 -r, -de, -t 
agitere	 -r, -de, -t 
agte	 -r, -de, -t 
agterudsejle	 -r, -de, -t 
ajourføre	 -r, ajourførte, ajourført 
akademisere	 -r, -de, -t 
akklimatisere	 -r, -de, -t
akkommodere	 -r, -de, -t 
akkompagnere	 -r, -de, -t 
akkordere	 -r, -de, -t 
akkreditere	 -r, -de, -t 
akkumulere	 -r, -de, -t
akkviescere	 -r, -de, -t 
akkvirere	 -r, -de, -t 
aktere	 -r, -de, -t 
aktionere	 -r, -de, -t 
aktivere	 -r, -de, -t 
aktivisere	 -r, -de, -t 
aktualisere	 -r, -de, -t 
akvaplane	 -r, -de, -t
alarmere	 -r, -de, -t
aldersbestemme	 -r, aldersbestemte, aldersbestemt
alfabetisere	 -r, -de, -t
alienere	 -r, -de, -t 
allegorisere	 -r, -de, -t 
allergiteste	 -r, -de, -t
alliere	 -r, -de, -t
allitterere	 -r, -de, -t 
allokere	 -r, -de, -t 
alludere	 -r, -de, -t 
almengøre	 almengør, almengjorde, almengjort
almindeliggøre	 almindeliggør, almindeliggjorde, almindeliggjort
alternere	 -r, -de, -t 
amalgamere	 -r, -de, -t 
ambulere	 -r, -de, -t 
amerikanisere	 -r, -de, -t 
amortisere	 -r, -de, -t 
amputere	 -r, -de, -t
analogisere	 -r, -de, -t 
analysere	 -r, -de, -t
anbringe	 -r, anbragte, anbragt
andenbehandle	 -r, -de, -t
andrage	 -r, androg, andraget
anduve	 -r, -de, -t 
anerkende	 -r, anerkendte, anerkendt
anfalde	 -r, anfaldt, anfaldet 
anflyve	 -r, anfløj, anfløjet 
anfægte	 -r, -de, -t 
anføre	 -r, anførte, anført
anglisere	 -r, -de, -t 
angre	 -r, -de, -t 
anholde	 -r, anholdt, har anholdt
ankomme	 -r, ankom, ankommet 
ankre	 -r, -de, -t 
anlægge	 -r, anlagde, anlagt
anløbe	 -r, anløb, anløbet 
anmasse	 -r, -de, -t
anmode	 -r, -de, -t
anmærke	 -r, -de, -t 
annamme	 -r, -de, -t 
annektere	 -r, -de, -t 
annoncere	 -r, -de, -t
annotere	 -r, -de, -t 
annullere	 -r, -de, -t 
anodisere	 -r, -de, -t 
anonymisere	 -r, -de, -t 
anordne	 -r, -de, -t 
anprise	 -r, anpriste, anprist
anrette	 -r, -de, -t
anråbe	 -r, anråbte, anråbt 
ansamle	 -r, -de, -t
ansætte	 -r, ansatte, ansat
anskaffe	 -r, -de, -t
anskue	 -r, -de, -t 
anskueliggøre	 anskueliggør, anskueliggjorde, anskueliggjort 
anskyde	 -r, anskød, anskudt 
anslå	 anslår, anslog, anslået
anspore	 -r, -de, -t
anspænde	 -r, anspændte, anspændt
anstifte	 -r, -de, -t 
anstille	 -r, -de, -t 
anstrenge	 -r, anstrengte, anstrengt
anstå	 anstår, anstod, anstået
antage	 -r, antog, antaget 
antaste	 -r, -de, -t 
antedatere	 -r, -de, -t 
antegne	 -r, -de, -t 
antichambrere	 -r, -de, -t 
anticipere	 -r, -de, -t antikisere	 -r, -de, -t 
antistatbehandle	 -r, -de, -t 
antræffe	 -r, antraf, antruffet 
antyde	 -r, -de, -t
antænde	 -r, antændte, antændt
anvende	 -r, anvendte, anvendt
anvise	 -r, anviste, anvist
apostrofere	 -r, -de, -t 
appellere	 -r, -de, -t
applaudere	 -r, -de, -t 
applicere	 -r, -de, -t 
applikere	 -r, -de, -t 
apportere	 -r, -de, -t 
appretere	 -r, -de, -t 
approbere	 -r, -de, -t 
aptere	 -r, -de, -t 
argumentere	 -r, -de, -t
arkaisere	 -r, -de, -t 
arkivere	 -r, -de, -t 
armere	 -r, -de, -t 
aromatisere	 -r, -de, -t 
arrangere	 -r, -de, -t
arrestere	 -r, -de, -t 
arrivere	 -r, -de, -t 
arte	 -r, -de, -t
artikulere	 -r, -de, -t 
artsbestemme	 -r, artsbestemte, artsbestemt
ase	 -r, -de, -t
asfaltere	 -r, -de, -t
aspirere	 -r, -de, -t 
assimilere	 -r, -de, -t 
assistere	 -r, -de, -t 
associere	 -r, -de, -t 
assurere	 -r, -de, -t 
astringere	 -r, -de, -t 
atomisere	 -r, -de, -t 
atrofiere	 -r, -de, -t 
attachere	 -r, -de, -t attakere	 -r, -de, -t 
attestere	 -r, -de, -t 
attrahere	 -r, -de, -t 
attribuere	 -r, -de, -t 
auditere	 -r, -de, -t 
auktionere	 -r, -de, -t 
autogensvejse	 -r, -de, -t autoklavere	 -r, -de, -t 
automatisere	 -r, -de, -t 
autonomisere	 -r, -de, -t 
autorisere	 -r, -de, -t 
avertere	 -r, -de, -t 
bade	 -r, -de, -t
bagatellisere	 -r, -de, -t
bagbinde	 -r, bagbandt, bagbundet 
bagtale	 -r, bagtalte, bagtalt
bagvaske	 -r, -de, -t
bakse	 -r, -de, -t 
baldre	 -r, -de, -t 
balkanisere	 -r, -de, -t 
ballaste	 -r, -de, -t 
balsamere	 -r, -de, -t
bamle	 -r, -de, -t 
banalisere	 -r, -de, -t 
bandagere	 -r, -de, -t 
banderolere	 -r, -de, -t 
bandlyse	 -r, bandlyste, bandlyst
binde	 -r, bandt, bundet 
bappe	 -r, -de, -t
barbarisere	 -r, -de, -t 
barbere	 -r, -de, -t
bardere	 -r, -de, -t 
barrikadere	 -r, -de, -t 
barsle	 -r, -de, -t 
basere	 -r, -de, -t
baske	 -r, -de, -t
baste	 -r, -de, -t
batte	 -r, -de, -t 
bavle	 -r, -de, -t 
bearbejde	 -r, -de, -t
bebo	 bebor, beboede, beboet
bebrejde	 -r, -de, -t
bebygge	 -r, -de, -t
bebyrde	 -r, -de, -t
bedrage	 -r, -de el. bedrog, bedraget 
bedrive	 -r, bedrev, bedrevet
bedyre	 -r, -de, -t 
bedække	 -r, -de, -t 
bedømme	 -r, bedømte, bedømt
befale	 -r, -de, -t
befamle	 -r, -de, -t
befinde	 -r, befandt, befundet
befare	 -r, -de el. befor, befaret 
befatte	 -r, -de, -t
beflitte	 -r, -de, -t
beflyve	 -r, befløj, befløjet
befolke	 -r, -de, -t
befordre	 -r, -de, -t 
befri	 befrir, befriede, befriet
befrugte	 -r, -de, -t
befrygte	 -r, -de, -t 
befuldmægtige	 -r, -de, -t 
befæste	 -r, -de, -t 
beføle	 -r, befølte, befølt
begive	 -r, begav, begivet
begejstre	 -r, -de, -t
begå	 begår, begik, begået
begitte	 -r, -de, -t 
beglo	 beglor, begloede, begloet
begramse	 -r, -de, -t
begrave	 -r, -de, -t
begribe	 -r, begreb, begrebet
begrebsliggøre	 begrebsliggør, begrebsliggjorde, begrebsliggjort
begrunde	 -r, -de, -t
begræde	 -r, begræd, begrædt
begunstige	 -r, -de, -t
behage	 -r, -de, -t
behandle	 -r, -de, -t
behæfte	 -r, -de, -t
behænge	 -r, behængte, behængt
behøve	 -r, -de, -t
bejae	 -r, -de, -t 
bekendtgøre	 bekendtgør, bekendtgjorde, bekendtgjort
beklage	 -r, -de, -t
beklikke	 -r, -de, -t 
beklippe	 -r, -de, -t 
beklæde	 -r, beklædte, beklædt
bekomme	 -r, bekom, bekommet
bekoste	 -r, -de, -t 
bekranse	 -r, -de, -t 
bekrige	 -r, -de, -t
bekvemme	 -r, -de, -t
bekæmpe	 -r, -de, -t
belægge	 -r, belagde, belagt
belaste	 -r, -de, -t
belave	 -r, -de, -t
belejre	 -r, -de, -t
belemre	 -r, -de, -t
belure	 -r, -de, -t 
belyse	 -r, belyste, belyst
belære	 -r, belærte, belært
belæsse	 -r, -de, -t
beløbe	 -r, beløb, beløbet
belønne	 -r, -de, -t
belåne	 -r, belånte, belånt
bemale	 -r, -de, -t
bemande	 -r, -de, -t 
bemestre	 -r, -de, -t 
bemyndige	 -r, -de, -t 
bemægtige	 -r, -de, -t 
bemærke	 -r, -de, -t
bemøge	 -r, -de, -t 
bemøje	 -r, -de, -t 
benchmarke	 -r, -de, -t 
benævne	 -r, -de el. benævnte, -t el. benævnt
benåde	 -r, -de, -t
beordre	 -r, -de, -t
beplante	 -r, -de, -t
beramme	 -r, -de, -t 
berappe	 -r, -de, -t 
berede	 -r, beredte, beredt
berette	 -r, -de, -t
berige	 -r, -de, -t
berigtige	 -r, -de, -t
berolige	 -r, -de, -t
berømme	 -r, -de, -t 
berøre	 -r, berørte, berørt
berøve	 -r, -de, -t
beråbe	 -r, beråbte, beråbt
besynge	 -r, besang, besunget 
besætte	 -r, besatte, besat
bese	 beser, beså, beset
besegle	 -r, -de, -t 
besejle	 -r, -de, -t 
besejre	 -r, -de, -t
besigtige	 -r, -de, -t 
besinde	 -r, -de, -t
besjæle	 -r, -de, -t 
beskadige	 -r, -de, -t
beskære	 -r, beskar, beskåret 
beskatte	 -r, -de, -t
beskikke	 -r, -de, -t 
beskinne	 -r, -de, -t 
beskyde	 -r, beskød, beskudt
beskylde	 -r, beskyldte, beskyldt 
beskæftige	 -r, -de, -t
beskærme	 -r, -de, -t 
beslaglægge	 -r, beslaglagde, beslaglagt
beslå	 beslår, beslog, beslået
beslutte	 -r, -de, -t
besmitte	 -r, -de, -t 
besmudse	 -r, -de, -t 
besmykke	 -r, -de, -t
besnakke	 -r, -de, -t 
besnære	 -r, -de, -t 
bespare	 -r, -de, -t
bespise	 -r, bespiste, bespist
bespotte	 -r, -de, -t
besprøjte	 -r, -de, -t
bespænde	 -r, bespændte, bespændt
bestikke	 -r, bestak, bestukket 
bestige	 -r, besteg, besteget 
bestemme	 -r, bestemte, bestemt
bestialisere	 -r, -de, -t 
bestille	 -r, bestilte, bestilt
bestjæle	 -r, bestjal, bestjålet 
bestå	 består, bestod, bestået
bestorme	 -r, -de, -t
bestride	 -r, bestred, bestridt el. bestredet
bestryge	 -r, bestrøg, bestrøget 
bestræbe	 -r, bestræbte, bestræbt
bestrø	 bestrør, bestrøede, bestrøet
bestråle	 -r, -de, -t
bestykke	 -r, -de, -t 
bestyrke	 -r, -de, -t
bestænke	 -r, -de, -t 
bestøve	 -r, -de, -t
besudle	 -r, -de, -t 
besvangre	 -r, -de, -t 
besvare	 -r, -de, -t
besvige	 -r, besveg, besveget 
besvime	 -r, -de, -t
besværge	 -r, -de el. besvor, besværget el. besvoret 
besvære	 -r, -de, -t
besværliggøre	 besværliggør, besværliggjorde, besværliggjort
besørge	 -r, -de, -t
betage	 -r, betog, betaget
betakke	 -r, -de, -t
betale	 -r, betalte, betalt
betegne	 -r, -de, -t
betitle	 -r, -de, -t 
betle	 -r, -de, -t 
betone	 -r, -de, -t
betrække	 -r, betrak, betrukket 
betro	 betror, betroede, betroet
betrykke	 -r, betrykte, betrykt 
betræde	 -r, betrådte, betrådt
betvinge	 -r, betvang, betvunget
betvivle	 -r, -de, -t
betænke	 -r, betænkte, betænkt 
bevare	 -r, -de, -t
bevidne	 -r, -de, -t 
bevidstgøre	 bevidstgør, bevidstgjorde, bevidstgjort
bevikle	 -r, -de, -t 
bevilge	 -r, -de, -t 
bevillige	 -r, -de, -t 
bevirke	 -r, -de, -t
bevise	 -r, beviste, bevist
bevogte	 -r, -de, -t
bevæbne	 -r, -de, -t
bevæge	 -r, -de, -t
beære	 -r, -de, -t
bibeholde	 -r, bibeholdt, har bibeholdt
bibringe	 -r, bibragte, bibragt 
bide	 -r, bed, bidt
bidrage	 -r, -de el. bidrog, bidraget
bie	 -r, -de, -t 
bifalde	 -r, bifaldt, bifaldet 
bijobbe	 -r, -de, -t 
bile	 -r, -de, -t 
bilægge	 -r, bilagde, bilagt
bilde	 -r, bildte, bildt
billettere	 -r, -de, -t 
billige	 -r, -de, -t 
billiggøre	 billiggør, billiggjorde, billiggjort
bimle	 -r, -de, -t 
biografere	 -r, -de, -t 
bioptere	 -r, -de, -t 
bippe	 -r, -de, -t
bisætte	 -r, bisatte, bisat
bispevie	 bispevir, -de, -t
bistå	 bistår, bistod, bistået
bitche	 -r, -de, -t 
bivuakere	 -r, -de, -t 
bivåne	 -r, -de, -t 
bjerge	 -r, -de, -t
bjergtage	 -r, bjergtog, bjergtaget 
bjæffe	 -r, -de, -t 
bjærge	 -r, -de, -t
blackliste	 -r, -de, -t 
blade	 -r, -de, -t
bladre	 -r, -de, -t
blafre	 -r, -de, -t
blamere	 -r, -de, -t
blanchere	 -r, -de, -t 
blank	 -t, -e, 
blege	 -r, -de, -t
blegne	 -r, -de, -t
blive	 -r, blev, blevet
blindsmage	 -r, blindsmagte, blindsmagt
blinke	 -r, -de, -t
blitze	 -r, -de, -t 
blogge	 -r, -de, -t 
blokere	 -r, -de, -t
blok	 -ken, -ke, -kene
blote	 -r, -de, -t 
blotlægge	 -r, blotlagde, blotlagt
blotte	 -r, -de, -t
bluffe	 -r, -de, -t 
blunde	 -r, -de, -t 
blusse	 -r, -de, -t
blævre	 -r, -de, -t
blødgøre	 blødgør, blødgjorde, blødgjort
blåne	 -r, -de, -t 
blåstemple	 -r, -de, -t
boarde	 -r, -de, -t
bobbe	 -r, -de, -t
boge	 -r, -de, -t 
bogføre	 -r, bogførte, bogført
bogstavere	 -r, -de, -t 
bokse	 -r, -de, -t
bole	 -r, -de, -t 
bolte	 -r, -de, -t 
boltre	 -r, -de, -t
bomme	 -r, -de, -t 
bombardere	 -r, -de, -t
bombesprænge	 -r, bombesprængte, bombesprængt
bonitere	 -r, -de, -t 
booke	 -r, -de, -t
boome	 -r, -de, -t
booste	 -r, -de, -t 
boote	 -r, -de, -t
borde	 -r, -de, -t 
bore	 -r, -de, -t
borgerliggøre	 borgerliggør, borgerliggjorde, borgerliggjort
bortadoptere	 -r, -de, -t
bortauktionere	 -r, -de, -t
bortcensurere	 -r, -de, -t
bortdømme	 -r, bortdømte, bortdømt 
borteliminere	 -r, -de, -t 
bortfalde	 -r, bortfaldt, bortfaldet 
bortfjerne	 -r, -de, -t
bortforklare	 -r, -de, -t
bortforpagte	 -r, -de, -t 
bortføre	 -r, bortførte, bortført
bortgå	 bortgår, bortgik, bortgået 
bortkaste	 -r, -de, -t 
bortkomme	 -r, bortkom, bortkommet 
bortlede	 -r, bortledte, bortledt
bortlicitere	 -r, -de, -t 
bortlodde	 -r, -de, -t
bortoperere	 -r, -de, -t
bortrationalisere	 -r, -de, -t
bortrive	 -r, bortrev, bortrevet 
bortse	 bortser, bortså, bortset
bortskaffe	 -r, -de, -t
bortsælge	 -r, bortsolgte, bortsolgt
bortvejre	 -r, -de, -t 
bortvende	 -r, bortvendte, bortvendt
bortvise	 -r, bortviste, bortvist
bortvælge	 -r, bortvalgte, bortvalgt 
bortødsle	 -r, -de, -t
bosætte	 -r, bosatte, bosat
bosse	 -r, -de, -t
botanisere	 -r, -de, -t 
boykotte	 -r, -de, -t
brage	 -r, -de, -t
brainstorm	 -en, -e, -ene
braisere	 -r, -de, -t 
braklægge	 -r, braklagde, braklagt
bralre	 -r, -de, -t
bramme	 -r, -de, -t brandbeskatte	 -r, -de, -t 
brandsikker	 -t, brandsikre
brandskatte	 -r, -de, -t 
branke	 -r, -de, -t 
brevveksle	 -r, -de, -t
briefe	 -r, -de, -t 
brillere	 -r, -de, -t
brinte	 -r, -de, -t 
briste	 -r, -de el. brast, bristet
broadcaste	 -r, -de, -t
brodere	 -r, -de, -t
brolægge	 -r, brolagde, brolagt 
bronkoskopere	 -r, -de, -t 
bronzere	 -r, -de, -t 
brovte	 -r, -de, -t 
brugerfinansiere	 -r, -de, -t
brumme	 -r, -de, -t
brune	 -r, -de, -t
brunere	 -r, -de, -t 
bruse	 -r, -de el. bruste, -t el. brust
brutalisere	 -r, -de, -t
brydes	 brydes, brødes, har brødes 
bryste	 -r, -de, -t
bræge	 -r, -de, -t
brække	 -r, -de, -t
brætte	 -r, -de, -t
brødføde	 -r, brødfødte, brødfødt
budgettere	 -r, -de, -t
byde	 -r, bød, budt
bugne	 -r, -de, -t
bugsere	 -r, -de, -t
buhe	 -r, -de, -t 
bukke	 -r, -de, -t
bukle	 -r, -de, -t 
